Layer,Name,GEOID,Population,ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
Census tract,Tract 408,17031040800,1691,60625,17031040800,0.021323061,0.01044505,0.016427676,0.01992728
Census tract,Tract 409,17031040900,1904,60618,17031040900,0.002029677,0.005512322,0.003935661,0.002511732
Census tract,Tract 409,17031040900,1904,60625,17031040900,0.032030089,0.024069028,0.027008214,0.030764509
Census tract,Tract 501,17031050100,2736,60613,17031050100,0.032424974,0.130015236,0.050492611,0.040300248
Census tract,Tract 501,17031050100,2736,60618,17031050100,0.005019337,0.004863813,0.00752909,0.005331923
Census tract,Tract 502,17031050200,5092,60618,17031050200,0.062782852,0.076848249,0.067077344,0.064291537
Census tract,Tract 503,17031050300,2483,60618,17031050300,0.029814312,0.025291829,0.041238877,0.030978033
Census tract,Tract 505,17031050500,5914,60618,17031050500,0.056035547,0.034046693,0.066735113,0.055919096
Census tract,Tract 506,17031050600,2160,60613,17031050600,0.031860516,0.071609954,0.037493158,0.034761697
Census tract,Tract 506,17031050600,2160,60618,17031050600,0.00326394,0.002594034,0.007871321,0.003811664
Census tract,Tract 506,17031050600,2160,60657,17031050600,0.0,0.000348554,0.0,1.8311e-05
Census tract,Tract 507,17031050700,1742,60613,17031050700,0.002696855,0.002031488,0.00410509,0.002915027
Census tract,Tract 507,17031050700,1742,60618,17031050700,0.001316547,0.000972763,0.000855578,0.001233833
Census tract,Tract 507,17031050700,1742,60657,17031050700,0.012144146,0.003485535,0.005406265,0.010913352
Census tract,Tract 508,17031050800,1402,60618,17031050800,0.015606572,0.015888457,0.01659822,0.01575341
Census tract,Tract 509,17031050900,1414,60618,17031050900,0.017252256,0.011024643,0.010095825,0.015907639
Census tract,Tract 510,17031051000,1829,60618,17031051000,0.019199649,0.027885863,0.020020534,0.019895565
Census tract,Tract 511,17031051100,1732,60618,17031051100,0.018925368,0.021725032,0.022245038,0.019543041
Census tract,Tract 512,17031051200,1546,60618,17031051200,0.000877698,0.001297017,0.002737851,0.001145703
Census tract,Tract 512,17031051200,1546,60657,17031051200,0.01416817,0.009759498,0.016377803,0.01419102
Census tract,Tract 513,17031051300,2893,60614,17031051300,0.002938022,0.000382409,0.007561437,0.003332034
Census tract,Tract 513,17031051300,2893,60618,17031051300,0.004854768,0.000648508,0.010951403,0.005353956
Census tract,Tract 513,17031051300,2893,60657,17031051300,0.018744225,0.010456605,0.017172841,0.018127884
Census tract,Tract 514,17031051400,2073,60618,17031051400,0.036506761,0.019455253,0.052019165,0.037345495
Census tract,Tract 514,17031051400,2073,60647,17031051400,0.000784375,0.00034188,0.001199041,0.000828082
Census tract,Tract 601,17031060100,2939,60613,17031060100,0.041174073,0.024377857,0.07074439,0.045620172
Census tract,Tract 602,17031060200,2248,60613,17031060200,0.037160149,0.136617572,0.046661193,0.043603945
Census tract,Tract 603,17031060300,2936,60613,17031060300,0.040954561,0.089893347,0.051724138,0.04520721
Census tract,Tract 604,17031060400,3877,60613,17031060400,0.05506601,0.051802946,0.086480569,0.06048681
Census tract,Tract 605,17031060500,1197,60613,17031060500,0.035623569,0.089385475,0.022714833,0.035903415
Census tract,Tract 608,17031060800,5037,60613,17031060800,0.115588447,0.023869985,0.12014231,0.112009911
Census tract,Tract 609,17031060900,7292,60613,17031060900,0.125591897,0.054850178,0.05500821,0.10967789
Census tract,Tract 609,17031060900,7292,60657,17031060900,0.028424341,0.003136982,0.014946732,0.025543837
Census tract,Tract 610,17031061000,2202,60613,17031061000,0.040891844,0.039106145,0.057334428,0.043725404
Census tract,Tract 611,17031061100,1368,60613,17031061100,0.022484242,0.030472321,0.044745484,0.026818248
Census tract,Tract 612,17031061200,2164,60613,17031061200,0.02790931,0.025901473,0.052271483,0.032138172
Census tract,Tract 615,17031061500,2000,60613,17031061500,0.005456427,0.001015744,0.008210181,0.005732886
Census tract,Tract 615,17031061500,2000,60657,17031061500,0.014586175,0.01289648,0.018444904,0.014941771
Census tract,Tract 618,17031061800,1415,60613,17031061800,0.001912885,0.001523616,0.004652436,0.002380605
Census tract,Tract 618,17031061800,1415,60657,17031061800,0.015554187,0.010456605,0.018921927,0.015674211
Census tract,Tract 619.01,17031061901,3492,60657,17031061901,0.059334712,0.024050192,0.039910956,0.055244269
Census tract,Tract 619.02,17031061902,4759,60657,17031061902,0.078804946,0.012199373,0.015423756,0.068007031
Census tract,Tract 620,17031062000,3027,60657,17031062000,0.039226471,0.029627048,0.072825568,0.042591372
Census tract,Tract 621,17031062100,3722,60657,17031062100,0.051172614,0.076681771,0.092224519,0.057240167
Census tract,Tract 622,17031062200,2988,60657,17031062200,0.035574427,0.02788428,0.058832883,0.037848824
Census tract,Tract 623,17031062300,1595,60657,17031062300,0.0166762,0.04879749,0.021466052,0.018915257
Census tract,Tract 624,17031062400,1571,60657,17031062400,0.01749021,0.019518996,0.021148036,0.018018018
Census tract,Tract 625,17031062500,1556,60657,17031062500,0.018722225,0.04879749,0.019398951,0.020380136
Census tract,Tract 626,17031062600,2442,60614,17031062600,0.002075269,0.002676864,0.006358481,0.002591582
Census tract,Tract 626,17031062600,2442,60657,17031062600,0.062810754,0.164517253,0.016377803,0.062806709
Census tract,Tract 627,17031062700,2982,60614,17031062700,0.001958681,0.000764818,0.000687403,0.001753702
