Layer,Name,GEOID,Population
Census tract,Tract 1910,17031191000,2730
Census tract,Tract 1911,17031191100,6927
Census tract,Tract 1912,17031191200,4053
Census tract,Tract 1913.01,17031191301,5525
Census tract,Tract 1913.02,17031191302,5046
Census tract,Tract 2001,17031200100,3836
Census tract,Tract 2002,17031200200,4848
Census tract,Tract 2003,17031200300,1919
Census tract,Tract 2004.01,17031200401,3697
Census tract,Tract 2004.02,17031200402,4477
Census tract,Tract 2101,17031210100,4102
Census tract,Tract 2104,17031210400,2580
Census tract,Tract 2105.01,17031210501,3033
Census tract,Tract 2105.02,17031210502,4470
Census tract,Tract 2106.01,17031210601,2841
Census tract,Tract 2106.02,17031210602,4092
Census tract,Tract 2107,17031210700,4240
Census tract,Tract 2108,17031210800,1165
Census tract,Tract 2109,17031210900,3058
Census tract,Tract 2203,17031220300,2068
Census tract,Tract 2204,17031220400,2747
Census tract,Tract 2205,17031220500,2503
Census tract,Tract 2206.01,17031220601,1612
Census tract,Tract 2206.02,17031220602,4916
Census tract,Tract 2207.01,17031220701,3213
Census tract,Tract 2207.02,17031220702,3902
Census tract,Tract 2209.01,17031220901,2998
Census tract,Tract 2209.02,17031220902,2808
Census tract,Tract 2210,17031221000,2771
Census tract,Tract 2211,17031221100,4868
Census tract,Tract 2212,17031221200,3174
Census tract,Tract 2213,17031221300,2879
Census tract,Tract 2214,17031221400,3144
Census tract,Tract 2215,17031221500,2726
Census tract,Tract 2216,17031221600,3268
Census tract,Tract 2222,17031222200,2327
Census tract,Tract 2225,17031222500,1692
Census tract,Tract 2226,17031222600,1663
Census tract,Tract 2227,17031222700,2564
Census tract,Tract 2228,17031222800,1012
Census tract,Tract 2229,17031222900,1005
Census tract,Tract 2301,17031230100,1620
Census tract,Tract 2302,17031230200,2258
Census tract,Tract 2303,17031230300,972
Census tract,Tract 2304,17031230400,2090
Census tract,Tract 2305,17031230500,3327
Census tract,Tract 2306,17031230600,6988
Census tract,Tract 2307,17031230700,6252
Census tract,Tract 2308,17031230800,1232
Census tract,Tract 2309,17031230900,4808
Census tract,Tract 2311,17031231100,1217
Census tract,Tract 2312,17031231200,6504
Census tract,Tract 2315,17031231500,5586
Census tract,Tract 2402,17031240200,1633
Census tract,Tract 2403,17031240300,1215
Census tract,Tract 2405,17031240500,2425
Census tract,Tract 2406,17031240600,1725
Census tract,Tract 2407,17031240700,1876
Census tract,Tract 2408,17031240800,1370
Census tract,Tract 2409,17031240900,981
Census tract,Tract 2410,17031241000,2097
Census tract,Tract 2411,17031241100,3758
Census tract,Tract 2412,17031241200,1820
Census tract,Tract 2413,17031241300,1995
Census tract,Tract 2414,17031241400,5480
Census tract,Tract 2415,17031241500,2791
Census tract,Tract 2416,17031241600,3480
Census tract,Tract 2420,17031242000,4763
Census tract,Tract 2421,17031242100,3855
Census tract,Tract 2422,17031242200,3670
Census tract,Tract 2423,17031242300,3517
Census tract,Tract 2424,17031242400,2729
Census tract,Tract 2425,17031242500,3477
Census tract,Tract 2426,17031242600,5293
Census tract,Tract 2427,17031242700,1682
Census tract,Tract 2428,17031242800,1621
Census tract,Tract 2429,17031242900,1803
Census tract,Tract 2430,17031243000,2182
Census tract,Tract 2431,17031243100,2274
Census tract,Tract 2432,17031243200,2139
Census tract,Tract 2433,17031243300,2457
Census tract,Tract 2434,17031243400,2849
Census tract,Tract 2435,17031243500,3601
Census tract,Tract 2502,17031250200,2866
Census tract,Tract 2503,17031250300,5122
Census tract,Tract 2504,17031250400,4769
Census tract,Tract 2505,17031250500,7242
Census tract,Tract 2506,17031250600,4252
Census tract,Tract 2507,17031250700,5214
Census tract,Tract 2508,17031250800,2621
Census tract,Tract 2510,17031251000,1022
Census tract,Tract 2511,17031251100,4811
Census tract,Tract 2512,17031251200,3807
Census tract,Tract 2513,17031251300,4047
Census tract,Tract 2514,17031251400,4029
Census tract,Tract 2515,17031251500,4342
Census tract,Tract 2516,17031251600,4261
Census tract,Tract 2517,17031251700,1182
Census tract,Tract 2518,17031251800,5300
Census tract,Tract 2519,17031251900,4653
Census tract,Tract 2520,17031252000,5259
Census tract,Tract 2521.01,17031252101,1270
Census tract,Tract 2521.02,17031252102,6864
Census tract,Tract 2522.01,17031252201,2646
Census tract,Tract 2522.02,17031252202,4127
Census tract,Tract 2601,17031260100,1204
Census tract,Tract 2602,17031260200,960
Census tract,Tract 2603,17031260300,1668
Census tract,Tract 2604,17031260400,1174
Census tract,Tract 2605,17031260500,1538
Census tract,Tract 2606,17031260600,2018
Census tract,Tract 2607,17031260700,1669
Census tract,Tract 2608,17031260800,2447
Census tract,Tract 2609,17031260900,1461
Census tract,Tract 2610,17031261000,2276
Census tract,Tract 2705,17031270500,1271
Census tract,Tract 2712,17031271200,1326
Census tract,Tract 2713,17031271300,1110
Census tract,Tract 2714,17031271400,1272
Census tract,Tract 2715,17031271500,1527
Census tract,Tract 2718,17031271800,730
Census tract,Tract 2801,17031280100,6603
Census tract,Tract 2804,17031280400,1585
Census tract,Tract 2808,17031280800,786
Census tract,Tract 2809,17031280900,890
Census tract,Tract 2819,17031281900,6221
Census tract,Tract 2827,17031282700,2285
Census tract,Tract 2828,17031282800,1607
Census tract,Tract 2831,17031283100,3194
